Federal subject,City
Krasnoyarsk Krai,Nazarovo
Ingushetia,Nazran
Omsk Oblast,Nazyvayevsk
Samara Oblast,"Neftegorsk, Samara Oblast"
Republic of Bashkortostan,Neftekamsk
Stavropol Krai,Neftekumsk
Khanty-Mansi Autonomous Okrug,Nefteyugansk
Tver Oblast,Nelidovo
Kaliningrad Oblast,Neman
Zabaykalsky Krai,Nerchinsk
Kostroma Oblast,Nerekhta
Sakha Republic,Neryungri
Kaliningrad Oblast,Nesterov
Pskov Oblast,Nevel
Sakhalin Oblast,Nevelsk
Stavropol Krai,Nevinnomyssk
Sverdlovsk Oblast,Nevyansk
Kostroma Oblast,Neya
Volgograd Oblast,Nikolayevsk
Khabarovsk Krai,Nikolayevsk-on-Amur
Vologda Oblast,Nikolsk
Penza Oblast,Nikolsk
Leningrad Oblast,Nikolskoye
Republic of Tatarstan,Nizhnekamsk
Irkutsk Oblast,Nizhneudinsk
Khanty-Mansi Autonomous Okrug,Nizhnevartovsk
Sverdlovsk Oblast,Nizhniye Sergi
Penza Oblast,Nizhny Lomov
Nizhny Novgorod Oblast,Nizhny Novgorod
Sverdlovsk Oblast,Nizhny Tagil
Sverdlovsk Oblast,Nizhnyaya Salda
Sverdlovsk Oblast,Nizhnyaya Tura
Moscow Oblast,Noginsk
Kirov Oblast,Nolinsk
Krasnoyarsk Krai,Norilsk
Leningrad Oblast,Novaya Ladoga
Sverdlovsk Oblast,Novaya Lyalya
Stavropol Krai,Novoalexandrovsk
Altai Krai,Novoaltaysk
Volgograd Oblast,Novoanninsky
Chuvash Republic,Novocheboksarsk
Rostov Oblast,Novocherkassk
Arkhangelsk Oblast,Novodvinsk
Voronezh Oblast,Novokhopyorsk
Krasnodar Krai,Novokubansk
Samara Oblast,Novokuybyshevsk
Kemerovo Oblast,Novokuznetsk
Ryazan Oblast,Novomichurinsk
Tula Oblast,Novomoskovsk
Stavropol Krai,Novopavlovsk
Krasnodar Krai,Novorossiysk
Pskov Oblast,Novorzhev
Rostov Oblast,Novoshakhtinsk
Novosibirsk Oblast,Novosibirsk
Oryol Oblast,Novosil
Pskov Oblast,Novosokolniki
Orenburg Oblast,Novotroitsk
Ulyanovsk Oblast,Novoulyanovsk
Sverdlovsk Oblast,Novouralsk
Saratov Oblast,Novouzensk
Voronezh Oblast,Novovoronezh
Bryansk Oblast,Novozybkov
Belgorod Oblast,Novy Oskol
Yamalo-Nenets Autonomous Okrug,Novy Urengoy
Yamalo-Nenets Autonomous Okrug,Noyabrsk
Republic of Tatarstan,Nurlat
Khanty-Mansi Autonomous Okrug,Nyagan
Arkhangelsk Oblast,Nyandoma
Chelyabinsk Oblast,Nyazepetrovsk
Perm Krai,Nytva
Sakha Republic,Nyurba
Novosibirsk Oblast,Ob
Jewish Autonomous Oblast,Obluchye
Kaluga Oblast,Obninsk
Kursk Oblast,Oboyan
Perm Krai,Ochyor
Moscow Oblast,Odintsovo
Sakhalin Oblast,Okha
Perm Krai,Okhansk
Samara Oblast,Oktyabrsk
Republic of Bashkortostan,Oktyabrsky
Novgorod Oblast,Okulovka
Murmansk Oblast,Olenegorsk
Karelia,Olonets
Sakha Republic,Olyokminsk
Omsk Oblast,Omsk
Kirov Oblast,Omutninsk
Arkhangelsk Oblast,Onega
Pskov Oblast,Opochka
Moscow Oblast,Orekhovo-Zuyevo
Oryol Oblast,Oryol
Orenburg Oblast,Orenburg
Kirov Oblast,Orlov
Orenburg Oblast,Orsk
Perm Krai,Osa
Kemerovo Oblast,Osinniki
Tver Oblast,Ostashkov
Voronezh Oblast,Ostrogozhsk
Pskov Oblast,Ostrov
Murmansk Oblast,Ostrovnoy
Leningrad Oblast,Otradnoye
Samara Oblast,Otradny
Kaliningrad Oblast,Ozyorsk
Chelyabinsk Oblast,Ozyorsk
Moscow Oblast,Ozherelye
Moscow Oblast,Ozyory
Volgograd Oblast,Pallasovka
Primorsky Krai,Partizansk
Nizhny Novgorod Oblast,Pavlovo
Voronezh Oblast,Pavlovsk
Saint Petersburg,Pavlovsk
Moscow Oblast,Pavlovsky Posad
Komi Republic,Pechora
Pskov Oblast,Pechory
Penza Oblast,Penza
Yaroslavl Oblast,Pereslavl-Zalessky
Moscow Oblast,Peresvet
Nizhny Novgorod Oblast,Perevoz
Perm Krai,Perm
Nizhny Novgorod Oblast,Pervomaysk
Sverdlovsk Oblast,Pervouralsk
Novgorod Oblast,Pestovo
Saint Petersburg,Petergof
Kamchatka Krai,Petropavlovsk-Kamchatsky
Volgograd Oblast,Petrov Val
Saratov Oblast,Petrovsk
Zabaykalsky Krai,Petrovsk-Zabaykalsky
Karelia,Petrozavodsk
Kurgan Oblast,Petukhovo
Vladimir Oblast,Petushki
Chukotka Autonomous Okrug,Pevek
Leningrad Oblast,Pikalyovo
Kaliningrad Oblast,Pionersky
Karelia,Pitkyaranta
Chelyabinsk Oblast,Plast
Tula Oblast,Plavsk
Ivanovo Oblast,Plyos
Bryansk Oblast,Pochep
Smolensk Oblast,Pochinok
Moscow Oblast,Podolsk
Leningrad Oblast,Podporozhye
Khanty-Mansi Autonomous Okrug,Pokachi
Samara Oblast,Pokhvistnevo
Vladimir Oblast,Pokrov
Sakha Republic,Pokrovsk
Kaliningrad Oblast,Polessk
Sverdlovsk Oblast,Polevskoy
Murmansk Oblast,Polyarny
Murmansk Oblast,Polyarnye Zori
Kemerovo Oblast,Polysayevo
Pskov Oblast,Porkhov
Sakhalin Oblast,Poronaysk
Yaroslavl Oblast,Poshekhonye
Voronezh Oblast,Povorino
Kaliningrad Oblast,Pravdinsk
Leningrad Oblast,Primorsk
Krasnodar Krai,Primorsko-Akhtarsk
Leningrad Oblast,Priozersk
Ivanovo Oblast,Privolzhsk
Kabardino-Balkar Republic,Prokhladny
Kemerovo Oblast,Prokopyevsk
Rostov Oblast,Proletarsk
Moscow Oblast,Protvino
Pskov Oblast,Pskov
Ivanovo Oblast,Puchezh
Karelia,Pudozh
Saratov Oblast,Pugachyov
Moscow Oblast,Pushchino
Saint Petersburg,Pushkin
Moscow Oblast,Pushkino
Pskov Oblast,Pustoshka
Stavropol Krai,Pyatigorsk
Pskov Oblast,Pytalovo
Khanty-Mansi Autonomous Okrug,Pyt-Yakh
Vladimir Oblast,Raduzhny
Khanty-Mansi Autonomous Okrug,Raduzhny
Moscow Oblast,Ramenskoye
Tambov Oblast,Rasskazovo
Amur Oblast,Raychikhinsk
Moscow Oblast,Reutov
Sverdlovsk Oblast,Revda
Sverdlovsk Oblast,Rezh
Ivanovo Oblast,Rodniki
Moscow Oblast,Roshal
Smolensk Oblast,Roslavl
Voronezh Oblast,Rossosh
Yaroslavl Oblast,Rostov
Rostov Oblast,Rostov-on-Don
Saratov Oblast,Rtishchevo
Altai Krai,Rubtsovsk
Smolensk Oblast,Rudnya
Moscow Oblast,Ruza
Republic of Mordovia,Ruzayevka
Ryazan Oblast,Ryazan
Ryazan Oblast,Ryazhsk
Yaroslavl Oblast,Rybinsk
Ryazan Oblast,Rybnoye
Kursk Oblast,Rylsk
Tver Oblast,Rzhev
Smolensk Oblast,Safonovo
Saint Petersburg,Saint Petersburg
Kemerovo Oblast,Salair
Republic of Bashkortostan,Salavat
Yamalo-Nenets Autonomous Okrug,Salekhard
Rostov Oblast,Salsk
Samara Oblast,Samara
Republic of Mordovia,Saransk
Udmurtia,Sarapul
Saratov Oblast,Saratov
Nizhny Novgorod Oblast,Sarov
Ryazan Oblast,Sasovo
Chelyabinsk Oblast,Satka
Republic of Khakassia,Sayanogorsk
Irkutsk Oblast,Sayansk
Pskov Oblast,Sebezh
Karelia,Segezha
Bryansk Oblast,Seltso
Rostov Oblast,Semikarakorsk
Voronezh Oblast,Semiluki
Nizhny Novgorod Oblast,Semyonov
Ulyanovsk Oblast,Sengiley
Volgograd Oblast,Serafimovich
Penza Oblast,Serdobsk
Nizhny Novgorod Oblast,Sergach
Moscow Oblast,Sergiyev Posad
Sverdlovsk Oblast,Serov
Moscow Oblast,Serpukhov
Leningrad Oblast,Sertolovo
Saint Petersburg,Sestroretsk
Republic of Buryatia,Severobaykalsk
Arkhangelsk Oblast,Severodvinsk
Sakhalin Oblast,Severo-Kurilsk
Murmansk Oblast,Severomorsk
Sverdlovsk Oblast,Severouralsk
Tomsk Oblast,Seversk
Bryansk Oblast,Sevsk
Kurgan Oblast,Shadrinsk
Tuva Republic,Shagonar
Sakhalin Oblast,Shakhtyorsk
Rostov Oblast,Shakhty
Nizhny Novgorod Oblast,Shakhunya
Chechen Republic,Shali
Kostroma Oblast,Sharya
Krasnoyarsk Krai,Sharypovo
Ryazan Oblast,Shatsk
Moscow Oblast,Shatura
Moscow Oblast,Shcherbinka
Kursk Oblast,Shchigry
Kurgan Oblast,Shchuchye
Tula Oblast,Shchyokino
Moscow Oblast,Shchyolkovo
Belgorod Oblast,Shebekino
Irkutsk Oblast,Shelekhov
Arkhangelsk Oblast,Shenkursk
Saratov Oblast,Shikhany
Zabaykalsky Krai,Shilka
Amur Oblast,Shimanovsk
Leningrad Oblast,Shlisselburg
Chuvash Republic,Shumerlya
Kurgan Oblast,Shumikha
Ivanovo Oblast,Shuya
Republic of Bashkortostan,Sibay
Chelyabinsk Oblast,Sim
Ryazan Oblast,Skopin
Amur Oblast,Skovorodino
Leningrad Oblast,Slantsy
Altai Krai,Slavgorod
Kaliningrad Oblast,Slavsk
Krasnodar Krai,Slavyansk-na-Kubani
Kirov Oblast,Slobodskoy
Irkutsk Oblast,Slyudyanka
Smolensk Oblast,Smolensk
Chelyabinsk Oblast,Snezhinsk
Murmansk Oblast,Snezhnogorsk
Vladimir Oblast,Sobinka
Krasnodar Krai,Sochi
Vologda Oblast,Sokol
Tula Oblast,Sokolniki
Kostroma Oblast,Soligalich
Perm Krai,Solikamsk
Orenburg Oblast,Sol-Iletsk
Moscow Oblast,Solnechnogorsk
Novgorod Oblast,Soltsy
Arkhangelsk Oblast,Solvychegodsk
Orenburg Oblast,Sorochinsk
Republic of Khakassia,Sorsk
Karelia,Sortavala
Kaluga Oblast,Sosensky
Komi Republic,Sosnogorsk
Kirov Oblast,Sosnovka
Krasnoyarsk Krai,Sosnovoborsk
Leningrad Oblast,Sosnovy Bor
Kaliningrad Oblast,Sovetsk
Kirov Oblast,Sovetsk
Tula Oblast,Sovetsk
Khabarovsk Krai,Sovetskaya Gavan
Khanty-Mansi Autonomous Okrug,Sovetsky
Kaluga Oblast,Spas-Demensk
Ryazan Oblast,Spas-Klepiki
Penza Oblast,Spassk
Primorsky Krai,Spassk-Dalny
Ryazan Oblast,Spassk-Ryazansky
Sakha Republic,Srednekolymsk
Sverdlovsk Oblast,Sredneuralsk
Zabaykalsky Krai,Sretensk
Moscow Oblast,Staraya Kupavna
Novgorod Oblast,Staraya Russa
Tver Oblast,Staritsa
Bryansk Oblast,Starodub
Belgorod Oblast,Stary Oskol
Stavropol Krai,Stavropol
Republic of Bashkortostan,Sterlitamak
Tomsk Oblast,Strezhevoy
Belgorod Oblast,Stroitel
Vladimir Oblast,Strunino
Moscow Oblast,Stupino
Vladimir Oblast,Sudogda
Kursk Oblast,Sudzha
Kaluga Oblast,Sukhinichi
Sverdlovsk Oblast,Sukhoy Log
Karelia,Suoyarvi
Bryansk Oblast,Surazh
Khanty-Mansi Autonomous Okrug,Surgut
Volgograd Oblast,Surovikino
Penza Oblast,Sursk
Magadan Oblast,Susuman
Tula Oblast,Suvorov
Vladimir Oblast,Suzdal
Kaliningrad Oblast,Svetlogorsk
Stavropol Krai,Svetlograd
Kaliningrad Oblast,Svetly
Leningrad Oblast,Svetogorsk
Irkutsk Oblast,Svirsk
Amur Oblast,Svobodny
Leningrad Oblast,Syasstroy
Smolensk Oblast,Sychyovka
Komi Republic,Syktyvkar
Sverdlovsk Oblast,Sysert
Samara Oblast,Syzran
Rostov Oblast,Taganrog
Moscow Oblast,Taldom
Sverdlovsk Oblast,Talitsa
Tambov Oblast,Tambov
Omsk Oblast,Tara
Yamalo-Nenets Autonomous Okrug,Tarko-Sale
Kaluga Oblast,Tarusa
Kemerovo Oblast,Tashtagol
Novosibirsk Oblast,Tatarsk
Sverdlovsk Oblast,Tavda
Kemerovo Oblast,Tayga
Irkutsk Oblast,Tayshet
Karachay-Cherkessia,Teberda
Republic of Mordovia,Temnikov
Krasnodar Krai,Temryuk
Kabardino-Balkar Republic,Terek
Republic of Tatarstan,Tetyushi
Ivanovo Oblast,Teykovo
Krasnodar Krai,Tikhoretsk
Leningrad Oblast,Tikhvin
Krasnodar Krai,Timashyovsk
Tyumen Oblast,Tobolsk
Novosibirsk Oblast,Toguchin
Samara Oblast,Tolyatti
Sakhalin Oblast,Tomari
Sakha Republic,Tommot
Tomsk Oblast,Tomsk
Kemerovo Oblast,Topki
Tver Oblast,Toropets
Tver Oblast,Torzhok
Leningrad Oblast,Tosno
Vologda Oblast,Totma
Moscow,Troitsk
Chelyabinsk Oblast,Troitsk
Bryansk Oblast,Trubchevsk
Chelyabinsk Oblast,Tryokhgorny
Rostov Oblast,Tsimlyansk
Chuvash Republic,Tsivilsk
Krasnodar Krai,Tuapse
Tula Oblast,Tula
Irkutsk Oblast,Tulun
Tuva Republic,Turan
Sverdlovsk Oblast,Turinsk
Yaroslavl Oblast,Tutayev
Republic of Bashkortostan,Tuymazy
Tver Oblast,Tver
Amur Oblast,Tynda
Kabardino-Balkar Republic,Tyrnyauz
Omsk Oblast,Tyukalinsk
Tyumen Oblast,Tyumen
Republic of Bashkortostan,Uchaly
Sakha Republic,Udachny
Tver Oblast,Udomlya
Republic of Bashkortostan,Ufa
Sakhalin Oblast,Uglegorsk
Yaroslavl Oblast,Uglich
Komi Republic,Ukhta
Republic of Buryatia,Ulan-Ude
Ulyanovsk Oblast,Ulyanovsk
Bryansk Oblast,Unecha
Khanty-Mansi Autonomous Okrug,Uray
Nizhny Novgorod Oblast,Uren
Chechen Republic,Urus-Martan
Volgograd Oblast,Uryupinsk
Kirov Oblast,Urzhum
Komi Republic,Usinsk
Lipetsk Oblast,Usman
Perm Krai,Usolye
Irkutsk Oblast,Usolye-Sibirskoye
Primorsky Krai,Ussuriysk
Karachay-Cherkessia,Ust-Dzheguta
Irkutsk Oblast,Ust-Ilimsk
Chelyabinsk Oblast,Ust-Katav
Irkutsk Oblast,Ust-Kut
Krasnodar Krai,Ust-Labinsk
Vologda Oblast,Ustyuzhna
Tambov Oblast,Uvarovo
Krasnoyarsk Krai,Uyar
Krasnoyarsk Krai,Uzhur
Tula Oblast,Uzlovaya
Novgorod Oblast,Valday
Belgorod Oblast,Valuyki
Pskov Oblast,Velikiye Luki
Novgorod Oblast,Veliky Novgorod
Vologda Oblast,Veliky Ustyug
Smolensk Oblast,Velizh
Arkhangelsk Oblast,Velsk
Tula Oblast,Venyov
Perm Krai,Vereshchagino
Moscow Oblast,Vereya
Chelyabinsk Oblast,Verkhneuralsk
Sverdlovsk Oblast,Verkhny Tagil
Chelyabinsk Oblast,Verkhny Ufaley
Sverdlovsk Oblast,Verkhnyaya Pyshma
Sverdlovsk Oblast,Verkhnyaya Salda
Sverdlovsk Oblast,Verkhnyaya Tura
Sverdlovsk Oblast,Verkhoturye
Sakha Republic,Verkhoyansk
Tver Oblast,Vesyegonsk
Nizhny Novgorod Oblast,Vetluga
Ivanovo Oblast,Vichuga
Moscow Oblast,Vidnoye
Irkutsk Oblast,Vikhorevka
Kamchatka Krai,Vilyuchinsk
Sakha Republic,Vilyuysk
Republic of North Ossetia–Alania,Vladikavkaz
Vladimir Oblast,Vladimir
Primorsky Krai,Vladivostok
Sverdlovsk Oblast,Volchansk
Rostov Oblast,Volgodonsk
Volgograd Oblast,Volgograd
Kostroma Oblast,Volgorechensk
Leningrad Oblast,Volkhov
Nizhny Novgorod Oblast,Volodarsk
Vologda Oblast,Vologda
Moscow Oblast,Volokolamsk
Leningrad Oblast,Volosovo
Saratov Oblast,Volsk
Mari El,Volzhsk
Volgograd Oblast,Volzhsky
Komi Republic,Vorkuta
Voronezh Oblast,Voronezh
Nizhny Novgorod Oblast,Vorsma
Moscow Oblast,Voskresensk
Udmurtia,Votkinsk
Leningrad Oblast,Vsevolozhsk
Komi Republic,Vuktyl
Kirov Oblast,Vyatskiye Polyany
Khabarovsk Krai,Vyazemsky
Smolensk Oblast,Vyazma
Vladimir Oblast,Vyazniki
Leningrad Oblast,Vyborg
Nizhny Novgorod Oblast,Vyksa
Tver Oblast,Vyshny Volochyok
Moscow Oblast,Vysokovsk
Leningrad Oblast,Vysotsk
Vologda Oblast,Vytegra
Chuvash Republic,Yadrin
Moscow Oblast,Yakhroma
Sakha Republic,Yakutsk
Tyumen Oblast,Yalutorovsk
Republic of Bashkortostan,Yanaul
Kirov Oblast,Yaransk
Yaroslavl Oblast,Yaroslavl
Altai Krai,Yarovoye
Smolensk Oblast,Yartsevo
Tula Oblast,Yasnogorsk
Orenburg Oblast,Yasny
Tula Oblast,Yefremov
Moscow Oblast,Yegoryevsk
Sverdlovsk Oblast,Yekaterinburg
Republic of Tatarstan,Yelabuga
Lipetsk Oblast,Yelets
Kamchatka Krai,Yelizovo
Smolensk Oblast,Yelnya
Chelyabinsk Oblast,Yemanzhelinsk
Komi Republic,Yemva
Krasnoyarsk Krai,Yeniseysk
Kaluga Oblast,Yermolino
Saratov Oblast,Yershov
Stavropol Krai,Yessentuki
Krasnodar Krai,Yeysk
Mari El,Yoshkar-Ola
Moscow Oblast,Yubileyny
Khanty-Mansi Autonomous Okrug,Yugorsk
Kaluga Oblast,Yukhnov
Kemerovo Oblast,Yurga
Ivanovo Oblast,Yuryevets
Vladimir Oblast,Yuryev-Polsky
Chelyabinsk Oblast,Yuryuzan
Ivanovo Oblast,Yuzha
Sakhalin Oblast,Yuzhno-Sakhalinsk
Dagestan,Yuzhno-Sukhokumsk
Chelyabinsk Oblast,Yuzhnouralsk
Lipetsk Oblast,Zadonsk
Republic of Tatarstan,Zainsk
Republic of Buryatia,Zakamensk
Krasnoyarsk Krai,Zaozyorny
Murmansk Oblast,Zaozyorsk
Tver Oblast,Zapadnaya Dvina
Murmansk Oblast,Zapolyarny
Moscow Oblast,Zaraysk
Penza Oblast,Zarechny
Sverdlovsk Oblast,Zarechny
Altai Krai,Zarinsk
Amur Oblast,Zavitinsk
Tyumen Oblast,Zavodoukovsk
Ivanovo Oblast,Zavolzhsk
Nizhny Novgorod Oblast,Zavolzhye
Republic of Tatarstan,Zelenodolsk
Krasnoyarsk Krai,Zelenogorsk
Saint Petersburg,Zelenogorsk
Moscow,Zelenograd
Kaliningrad Oblast,Zelenogradsk
Stavropol Krai,Zelenokumsk
Rostov Oblast,Zernograd
Amur Oblast,Zeya
Moscow Oblast,Zheleznodorozhny
Krasnoyarsk Krai,Zheleznogorsk
Kursk Oblast,Zheleznogorsk
Irkutsk Oblast,Zheleznogorsk-Ilimsky
Stavropol Krai,Zheleznovodsk
Tambov Oblast,Zherdevka
Samara Oblast,Zhigulyovsk
Volgograd Oblast,Zhirnovsk
Kaluga Oblast,Zhizdra
Kaluga Oblast,Zhukov
Bryansk Oblast,Zhukovka
Moscow Oblast,Zhukovsky
Irkutsk Oblast,Zima
Chelyabinsk Oblast,Zlatoust
Bryansk Oblast,Zlynka
Altai Krai,Zmeinogorsk
Astrakhan Oblast,Znamensk
Tver Oblast,Zubtsov
Kirov Oblast,Zuyevka
Moscow Oblast,Zvenigorod
Mari El,Zvenigovo
Rostov Oblast,Zverevo
